year;month;day;hour;minute;tweets;related;rainfall (mm/30min);Normalized year;Normalized month;Normalized day;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;4;11;30;37;0;0.0;1.0;0.5;0.12903225806451613;0.4782608695652174;1.0;0.3394495412844037;0.0;0.0;0.0;0
2016;1;15;18;0;54;0;0.0;1.0;0.5;0.4838709677419355;0.782608695652174;0.0;0.4954128440366973;0.0;0.0;0.0;0
2016;1;14;4;0;1;0;0.0;1.0;0.5;0.45161290322580644;0.17391304347826086;0.0;0.009174311926605505;0.0;0.0;0.0;0
2016;1;22;0;30;37;0;0.0;1.0;0.5;0.7096774193548387;0.0;1.0;0.3394495412844037;0.0;0.0;0.0;0
2016;1;11;12;0;50;0;0.0;1.0;0.5;0.3548387096774194;0.5217391304347826;0.0;0.45871559633027525;0.0;0.0;0.0;0
2016;1;16;20;30;65;0;0.0;1.0;0.5;0.5161290322580645;0.8695652173913043;1.0;0.5963302752293578;0.0;0.0;0.0;0
2016;1;12;23;0;42;0;0.0;1.0;0.5;0.3870967741935484;1.0;0.0;0.3853211009174312;0.0;0.0;0.0;0
2016;1;6;11;30;23;0;0.0;1.0;0.5;0.1935483870967742;0.4782608695652174;1.0;0.21100917431192662;0.0;0.0;0.0;0
2016;1;26;0;0;40;0;0.0;1.0;0.5;0.8387096774193549;0.0;0.0;0.3669724770642202;0.0;0.0;2.56;1
2016;1;25;14;30;88;0;0.0;1.0;0.5;0.8064516129032258;0.6086956521739131;1.0;0.8073394495412844;0.0;0.0;0.0;0
2016;1;7;9;30;22;0;0.0;1.0;0.5;0.22580645161290322;0.391304347826087;1.0;0.2018348623853211;0.0;0.0;0.0;0
2016;1;5;2;0;9;0;0.0;1.0;0.5;0.16129032258064516;0.08695652173913043;0.0;0.08256880733944955;0.0;0.0;0.0;0
2016;1;15;16;0;44;0;0.0;1.0;0.5;0.4838709677419355;0.6956521739130435;0.0;0.4036697247706422;0.0;0.0;0.0;0
2016;1;17;21;30;54;0;0.0;1.0;0.5;0.5483870967741935;0.9130434782608695;1.0;0.4954128440366973;0.0;0.0;0.0;0
2016;1;24;9;30;20;0;0.0;1.0;0.5;0.7741935483870968;0.391304347826087;1.0;0.1834862385321101;0.0;0.0;0.0;0
2016;1;2;9;30;14;0;0.4;1.0;0.5;0.06451612903225806;0.391304347826087;1.0;0.12844036697247707;0.0;0.016813787305590584;0.79;0
2016;1;28;22;0;66;0;0.0;1.0;0.5;0.9032258064516129;0.9565217391304348;0.0;0.6055045871559633;0.0;0.0;0.0;0
2016;1;11;18;30;46;1;0.0;1.0;0.5;0.3548387096774194;0.782608695652174;1.0;0.42201834862385323;0.25;0.0;0.2;0
2016;1;23;15;30;61;0;0.0;1.0;0.5;0.7419354838709677;0.6521739130434783;1.0;0.5596330275229358;0.0;0.0;0.0;0
2016;1;6;4;0;1;0;0.0;1.0;0.5;0.1935483870967742;0.17391304347826086;0.0;0.009174311926605505;0.0;0.0;0.0;0
2016;1;11;19;0;68;0;0.2;1.0;0.5;0.3548387096774194;0.8260869565217391;0.0;0.6238532110091743;0.0;0.008406893652795292;0.0;0
2016;1;10;12;30;40;0;0.0;1.0;0.5;0.3225806451612903;0.5217391304347826;1.0;0.3669724770642202;0.0;0.0;0.0;0
