tweets;related;rainfall (mm/30min);precision;recall;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Normalized precision;Normalized recall;Next batch rainfall (mm/30min)
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0;0.0;0.0;0.0;0.06666666666666667;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.0;0.0;0.03333333333333333;0.0;0.0;0.0;0.0;0.0
3;0;0.2;0.0;0.0;0.1;0.0;0.007371913011426466;0.0;0.0;0.0
2;0;0.0;0.0;0.0;0.06666666666666667;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0;0.0;0.0;0.0;0.06666666666666667;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.0;0.0;0.03333333333333333;0.0;0.0;0.0;0.0;0.0
5;0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.0;0.0;0.03333333333333333;0.0;0.0;0.0;0.0;0.4
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;8.26;0.0;0.0;0.0;0.0;0.30446000737191303;0.0;0.0;1.18
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.0;0.0;0.03333333333333333;0.0;0.0;0.0;0.0;0.0
2;0;0.0;0.0;0.0;0.06666666666666667;0.0;0.0;0.0;0.0;0.0
2;0;0.99;0.0;0.0;0.06666666666666667;0.0;0.036490969406561005;0.0;0.0;0.2
1;0;0.0;0.0;0.0;0.03333333333333333;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.0;0.0;0.03333333333333333;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.0;0.0;0.03333333333333333;0.0;0.0;0.0;0.0;0.0
2;0;0.0;0.0;0.0;0.06666666666666667;0.0;0.0;0.0;0.0;0.0
