Sensor;Split;R2 Score;Explained Variance Score;Mesma Classe
6;9;-0.5164023763649723;-0.5164016695084122;0.959731543624161
6;10;0.09227332719055359;0.10026729824070835;0.9731543624161074
7;1;0.39954732350935007;0.4036692045268955;0.9731543624161074
7;2;0.043496387176043094;0.04707933023118671;0.9932885906040269
7;3;-6.518424494933293;-6.2204706204347415;0.9932885906040269
7;4;0.4150974037188615;0.41544270936787486;0.9932885906040269
7;5;0.3441971949370196;0.4010905375405094;0.9932885906040269
7;6;0.425836059489596;0.4295675016583701;0.9731543624161074
7;7;0.1398713190764056;0.14010798936196567;0.9731543624161074
7;8;0.39018932617399493;0.39645378259095576;0.9865771812080537
7;9;0.7567501576228621;0.7616901890007325;0.9731543624161074
7;10;-2.862419138697161;-2.7131508403021405;0.9865771812080537
8;1;0.0;0.0;1.0
8;2;0.0;0.0;1.0
8;3;0.0;0.0;1.0
8;4;0.0;0.0;1.0
8;5;0.0;0.0;1.0
8;6;0.0;0.0;1.0
8;7;0.0;0.0;1.0
8;8;0.0;0.0;1.0
8;9;-0.006756756756756799;0.0;1.0
8;10;0.0;0.0;1.0
9;1;0.9364214906585194;0.9364901823256944;1.0
9;2;0.6935438949489401;0.6942896967910157;0.9932885906040269
9;3;0.7316632547814172;0.7317970602386187;1.0
9;4;0.5497647061442894;0.5497751413186143;1.0
9;5;0.8208504583660214;0.820853785853652;0.9932885906040269
9;6;0.868594856989452;0.8686045778003406;1.0
9;7;0.8033394270749372;0.803481442932008;0.9932885906040269
9;8;0.8462127406437546;0.8462158865153987;1.0
9;9;0.7251419477967158;0.7255427716866683;0.9798657718120806
9;10;0.8399895257521505;0.852061480662445;1.0
10;1;0.6469437088191861;0.648679711887681;0.9731543624161074
10;2;-0.3640186937815051;-0.35054721466221617;0.9798657718120806
10;3;-0.09472780296771877;0.1900827297404174;1.0
10;4;0.2697509054689091;0.27740104625391315;0.9798657718120806
10;5;0.4263678987801225;0.42901246198714005;0.9798657718120806
10;6;0.9334726119700182;0.9366005000063311;0.9932885906040269
10;7;-20.979184181506554;-20.366187753396733;0.9865771812080537
10;8;-4.741749174864404;-4.703340178300494;0.9865771812080537
10;9;0.04277243984138168;0.04670842128635466;0.9865771812080537
10;10;-0.6525672394282522;-0.6233619515450342;0.9798657718120806
11;1;-0.02445227327882704;-0.022862723051238598;0.9932885906040269
11;2;-0.0009114558323282118;0.003949474314674295;0.9865771812080537
11;3;-0.007766462610646396;-0.0033009011067830496;0.9932885906040269
11;4;0.35363472922002004;0.3544320147322181;1.0
11;5;0.3750191458520239;0.37502279201406796;0.9932885906040269
11;6;-4.854712574882844;-4.793996940467706;0.9865771812080537
11;7;0.07103059133266154;0.07748328100504687;0.9865771812080537
11;8;0.17791880312762098;0.1783665606773367;0.9932885906040269
11;9;0.16378274112096836;0.16646317924884324;0.9865771812080537
11;10;-1.2636772134729748;-1.2631887940292241;0.9798657718120806
12;1;0.6119016796039428;0.6158182082511156;1.0
12;2;0.20908642968043412;0.21018422517298685;0.9932885906040269
12;3;0.15103468340867132;0.1565849789361815;0.9865771812080537
12;4;0.5240664520112635;0.5360816689892403;1.0
12;5;0.5831979324059997;0.5856609284606153;0.9932885906040269
12;6;0.2473816444090673;0.248892811228013;0.9865771812080537
12;7;0.29964470439845126;0.3423044411881282;1.0
12;8;0.4771166944137668;0.5039198506040568;0.9932885906040269
12;9;0.21818220583334735;0.22265524810948356;0.9865771812080537
12;10;0.040589281212095485;0.07875000494135376;1.0
13;1;-0.07377948542303447;-0.07333007667785618;1.0
13;2;0.1962160350520027;0.2071614048527658;1.0
13;3;0.08244125112285317;0.10513619927936235;1.0
13;4;0.07159192277694082;0.08520983344576905;1.0
13;5;-0.030297288760333663;0.017387349085142945;1.0
13;6;-0.016248174907099067;-0.014746363972353516;1.0
13;7;0.4128712202877156;0.4913943365264807;1.0
13;8;0.4123456991162717;0.41347290922635693;1.0
13;9;0.07451952511790605;0.07469092736697047;1.0
13;10;-0.11277811687352379;-0.051629507320857915;1.0
14;1;-238.95364811920493;-231.1847816880979;0.9798657718120806
14;2;0.0;0.0;0.9932885906040269
14;3;0.0027204863727648965;0.005796441057553392;0.9798657718120806
14;4;-0.11682310679345642;-0.04055448481362944;1.0
14;5;-19.43363784448546;-18.95323534308249;0.9932885906040269
14;6;-43.332729446055346;-41.74261055307734;0.9865771812080537
14;7;-37.56302638893898;-35.907775877493336;0.9932885906040269
14;8;-0.343139137039685;-0.33916823391339457;0.9731543624161074
14;9;0.8195707836695177;0.8302651019083418;0.9932885906040269
14;10;-83.98619183197536;-79.8736749819426;0.9865771812080537
15;1;0.7023341162318872;0.7023514601620602;1.0
15;2;0.7037040640112697;0.7120636233874035;1.0
15;3;0.7668946307151449;0.7668947537187636;1.0
15;4;0.6162535040223386;0.6177354529276786;1.0
15;5;0.8397229331530964;0.8397801110494644;1.0
15;6;0.7044577358716548;0.705478781201861;1.0
15;7;0.5382811224209425;0.5385658907888615;1.0
15;8;0.7606186540014043;0.7606456435272169;1.0
15;9;0.5724944415394193;0.5735068489017482;1.0
15;10;0.6328326283821368;0.6330021561626039;1.0
16;1;-0.01020192637856332;0.0033423912172245718;1.0
16;2;-0.04074353762846972;-0.03617999593590171;1.0
16;3;-0.06636270232252328;-0.06506348353952718;1.0
16;4;0.009850205967136483;0.01947494366329927;1.0
16;5;-0.00840703830373779;-0.008298148405374572;1.0
16;6;-0.0324717999652826;-0.020750279082214274;1.0
16;7;0.06389277271579752;0.06459960516972119;1.0
16;8;0.006506431942535418;0.007294212465115191;1.0
16;9;0.07726231127970518;0.07960161486833839;1.0
16;10;0.03328472631876689;0.037984106173517884;1.0
17;1;-0.034382110079276496;-0.02015730003438798;1.0
17;2;-0.08338418305103423;-0.07817337791384027;1.0
17;3;0.04678097962615979;0.049323539978030406;1.0
17;4;-0.07046368284211901;-0.061871862184711635;1.0
17;5;-0.023323242879097705;-0.0221635296072904;1.0
17;6;-0.036793674620525074;-0.033818912271514456;1.0
17;7;-0.20232988783822692;-0.12532992302306356;1.0
17;8;0.015321027584130231;0.016026860935835496;1.0
17;9;-0.012548571465896163;-0.012000619933773882;1.0
17;10;-0.001193965859072721;0.002269451842443315;1.0
18;1;0.4196808087290147;0.42491580831983833;0.9798657718120806
18;2;0.2326148032582186;0.23305483506206004;0.9865771812080537
18;3;-0.05454429856970022;0.004951076796384957;1.0
18;4;0.46373265534000885;0.4644243385884359;0.9798657718120806
18;5;0.355147324103014;0.3617591236311577;0.9798657718120806
18;6;0.4619279072618755;0.4640817787040078;0.9798657718120806
18;7;0.5150541449466199;0.5324719319824245;1.0
18;8;-2.495311833381148;-2.4421750490321363;0.9798657718120806
18;9;0.24834986590372965;0.2495220951191457;0.9932885906040269
18;10;0.2812810494985801;0.2887280146464607;0.9865771812080537
19;1;0.27681149679696737;0.2864886321381166;0.9664429530201343
19;2;-0.09603484254633354;-0.08488671634223177;0.9865771812080537
19;3;-0.009978299546981484;-0.007531071874084638;0.9932885906040269
19;4;-0.00012355191376411945;0.0025262931607417105;0.9932885906040269
19;5;0.39707495850916874;0.403938150872874;0.9731543624161074
19;6;0.24856329178247805;0.25411724716167206;0.9798657718120806
19;7;0.4582770482126901;0.5178670612777956;0.9932885906040269
19;8;-6.220824923037871;-6.079386694581285;0.9932885906040269
19;9;-0.3143918298399091;-0.2712225319231818;0.9798657718120806
19;10;0.19395047231825957;0.19543171233512813;0.9865771812080537
20;1;0.1569268664831548;0.15942380142135404;0.9932885906040269
20;2;0.5907018286030601;0.5907095947429517;1.0
20;3;0.4108882364256171;0.4109331402887533;1.0
20;4;0.5484914707248003;0.5485773750052663;1.0
20;5;0.5927052470449962;0.6058508606820752;1.0
20;6;0.26095914961627464;0.2635921480971848;1.0
20;7;0.17068241199204115;0.17138655548534254;1.0
20;8;0.3506612055099425;0.36398608442808356;1.0
20;9;0.5403249151335227;0.5403965580321973;1.0
20;10;0.37612627227741235;0.3768470947178473;1.0
21;1;0.41496335050620337;0.4162584070409451;0.9932885906040269
21;2;0.10655755062245642;0.10961966114594712;1.0
21;3;0.4240335378517972;0.4245497921694362;1.0
21;4;-1.5070894895094633;-1.4978937744119842;0.9865771812080537
21;5;0.3549267189802441;0.35508821958095504;0.9798657718120806
21;6;0.12103949136576952;0.12295348618684177;0.9932885906040269
21;7;0.3971845225772126;0.3990933689558248;0.9865771812080537
21;8;0.4770603176207592;0.48549009543708144;0.9798657718120806
21;9;-0.09240942154175835;-0.09236755977925837;0.9865771812080537
21;10;-1.336404994462339;-1.2166083692804284;1.0
22;1;0.5986093183486301;0.5986626583008234;1.0
22;2;0.43566337745820094;0.4381342323302887;1.0
22;3;0.6100473184209058;0.6101576818950065;1.0
22;4;0.5279646142209424;0.5318427645110473;1.0
22;5;0.740209187067917;0.7406324101826023;1.0
22;6;0.7749314276181418;0.7761174897045324;1.0
22;7;0.636287236009362;0.6366892789010234;1.0
22;8;0.7758633397385114;0.775933929925917;1.0
22;9;0.589967870039142;0.5972558407243846;1.0
22;10;0.7730343369440645;0.7735928399082008;1.0
23;1;0.17253943868850874;0.17423628614525621;0.9865771812080537
23;2;-0.09457764294073989;-0.09456692688358959;0.9932885906040269
23;3;-3.247762073590673;-2.929721348941979;0.9865771812080537
23;4;0.426995714301761;0.4358270325602207;0.9865771812080537
23;5;0.5480659778401513;0.5481580871721061;0.9865771812080537
23;6;0.8169666911124219;0.8169681248893739;1.0
23;7;-0.24208458352579676;-0.2416704282212523;0.9798657718120806
23;8;0.21253512728958823;0.2156801078939039;0.9798657718120806
23;9;-0.004325998019801824;0.003610945334015514;0.9865771812080537
23;10;0.03108437003095943;0.03753943254819336;0.9932885906040269
24;1;0.4446604999469924;0.46123439026563795;0.9865771812080537
24;2;-0.04350939569305945;-0.043410536930337695;0.9865771812080537
24;3;-0.10286502784010221;-0.094093901484684;0.9932885906040269
24;4;0.43634377455773177;0.43723834436473874;0.9731543624161074
24;5;-6.954033307968408;-6.840314793311883;0.9731543624161074
24;6;0.23146816326350905;0.24300465823391126;0.959731543624161
24;7;0.5866734724392797;0.5880326146803185;0.9865771812080537
24;8;0.2956444639610286;0.30062475999988403;0.9865771812080537
24;9;0.15322463408539766;0.1614340485041611;0.9865771812080537
24;10;-28.45654714819422;-27.984239127977485;0.9798657718120806
25;1;-6.176551150528782;-5.963505099651273;0.9798657718120806
25;2;0.3143673523513877;0.3208776763230705;0.9932885906040269
25;3;0.2570480709524249;0.2590701657322265;0.9865771812080537
25;4;0.07581994705640627;0.07605798518850104;0.9798657718120806
25;5;0.17081905370107853;0.1708823058837473;0.9664429530201343
25;6;0.49548108286566894;0.49548227501738107;0.9865771812080537
25;7;-18.87306392734609;-18.38226166336409;0.9932885906040269
25;8;0.22755608226053836;0.24839651414175923;0.9932885906040269
25;9;0.08610184761476114;0.09044841762765932;0.9865771812080537
25;10;0.47620221801339224;0.48788729498987116;0.9932885906040269
26;1;-0.10822152623084036;-0.10697535225520283;0.9865771812080537
26;2;-16.84379229387341;-16.377378186178866;0.9865771812080537
26;3;-0.4122078357435779;-0.35197441500597004;1.0
26;4;0.08043533830055938;0.0822260230944093;0.9798657718120806
26;5;-1.7632469911211994;-1.736383008264378;0.9798657718120806
26;6;-4.8822829875121;-4.83003165509384;0.9731543624161074
26;7;0.25094548445411236;0.2510975263203953;0.9932885906040269
26;8;-0.8030271448105508;-0.802639096421474;0.9664429530201343
26;9;-0.15482927111393363;-0.15393445902181657;0.9731543624161074
26;10;-0.352232837974104;-0.3511223129827552;0.9865771812080537
27;1;-0.0039311318758237235;0.009007355232051206;1.0
27;2;0.39840730722866347;0.4030333129589132;1.0
27;3;-0.7227076164413047;-0.7221617487835228;1.0
27;4;0.05434999046410227;0.06953336237320384;1.0
27;5;0.03185339911742424;0.033923710319137323;1.0
27;6;0.02947498401002613;0.03472937450162428;1.0
27;7;0.025346161370322418;0.025856733651989705;1.0
27;8;-0.14583375493397788;-0.14561847006145312;1.0
27;9;-0.30709494824567507;-0.3066724521074493;1.0
27;10;0.25700884182360184;0.26937052643479376;1.0
28;1;-0.6541254732420916;-0.6533747368775182;0.9798657718120806
28;2;0.08151298645000271;0.08584551842171728;0.9798657718120806
28;3;0.12436576910383434;0.12931648035797705;0.9865771812080537
28;4;0.07568871134469357;0.07628734839159612;0.9865771812080537
28;5;-0.6005214067571882;-0.5819053624166539;0.9798657718120806
28;6;-0.8703983235287811;-0.841551299830783;0.9731543624161074
28;7;0.06070911907900667;0.06671151650271268;0.9731543624161074
28;8;-0.23452418190153113;-0.23371307104924255;0.9798657718120806
28;9;0.05850482099437104;0.06200107220925366;0.9664429530201343
28;10;-0.5099916850228006;-0.508435057624667;0.9731543624161074
29;1;0.5891276349953425;0.600545456983542;1.0
29;2;0.8246410938138639;0.8258452965212529;1.0
29;3;0.9188086806801454;0.9260644245617802;1.0
29;4;0.02630860620039155;0.031024787524154718;0.9865771812080537
29;5;0.2114214333806188;0.22400269898842828;1.0
29;6;0.2928330839939538;0.2941263127487851;0.9865771812080537
29;7;-2.0872136241547183;-2.0234954248567503;0.9932885906040269
29;8;0.12087819872092231;0.12777970462745947;0.9731543624161074
29;9;-0.01255814115616194;-0.0026364999036896375;0.9865771812080537
29;10;-0.6691860557271059;-0.6519613700415523;1.0
30;1;0.8113444800471827;0.8177629466729877;1.0
30;2;0.7942758136128818;0.7943394451716229;1.0
30;3;0.6604364126234525;0.660732295816694;1.0
30;4;0.8477025425533411;0.8482154680356603;1.0
30;5;0.7459204886872808;0.747699845225156;1.0
30;6;0.785128321592772;0.7871514700917291;1.0
30;7;0.8395500965205536;0.8402645264810469;1.0
30;8;0.7684345670482173;0.768779825472284;1.0
30;9;0.5969524307251611;0.597188370386746;1.0
30;10;0.4420522938028624;0.44327269958154836;1.0
31;1;-0.576497778455368;-0.567662663867335;0.9798657718120806
31;2;0.1197046796692044;0.12045082701576804;0.9932885906040269
31;3;-21.811541439074812;-21.187695962602344;0.9865771812080537
31;4;0.4393470825570295;0.47342373404156624;0.9932885906040269
31;5;-1.528204844929122;-1.5089973146614595;0.9664429530201343
31;6;0.22180584900602085;0.22224238884890457;0.9865771812080537
31;7;0.10236052282265429;0.10589610565318142;0.9932885906040269
31;8;0.3810057160514967;0.3836815480866669;0.9865771812080537
31;9;0.4200326392748286;0.4250948864040397;0.9865771812080537
31;10;-1.6381043726296811;-1.5630362021629445;0.9932885906040269
32;1;0.7206916329410931;0.7206966900727602;1.0
32;2;0.8796958086999508;0.8798617386719821;1.0
32;3;0.8746155942671765;0.8750189161849852;1.0
32;4;0.7928846679204701;0.7934323481759885;1.0
32;5;0.8207726409882468;0.8211928936936144;1.0
32;6;0.8203699576819833;0.8204323788998527;1.0
32;7;0.6814302221921293;0.6822571131521749;1.0
32;8;0.8978011704054496;0.9012439326087144;1.0
32;9;0.8594863483302025;0.8600090427492466;1.0
32;10;0.8012391763215914;0.8012496441028312;1.0
33;1;0.8126504318044493;0.8127378968795889;1.0
33;2;0.8561761584450553;0.8562703896646184;1.0
33;3;0.8614211358138525;0.8614653673912636;1.0
33;4;0.883286127725101;0.8836048217694124;1.0
33;5;0.8106847502978253;0.8111225672546989;1.0
33;6;0.7531750932614621;0.7543631383623204;1.0
33;7;0.8576836292774441;0.8581155550964619;1.0
33;8;0.8334075055630642;0.8338819719505075;1.0
33;9;0.7609819499494;0.7611713541953816;1.0
33;10;0.7400265491760445;0.7406947367701284;1.0
34;1;0.7511504624326361;0.7522410458136171;1.0
34;2;0.5259053048942746;0.5261541727642265;1.0
34;3;0.7382998846444764;0.7384345679038233;1.0
34;4;0.4058290560811435;0.407078263305072;1.0
34;5;0.7884643846036216;0.7884668183517038;1.0
34;6;0.5093873638632952;0.5114068004653706;1.0
34;7;0.7084037956971823;0.714738290216708;1.0
34;8;0.7441040023705692;0.7442047007926668;1.0
34;9;0.711884531619351;0.7130492895476157;1.0
34;10;0.44015767641636305;0.44283845154014967;1.0
35;1;1.0;1.0;1.0
35;2;1.0;1.0;1.0
35;3;1.0;1.0;1.0
35;4;1.0;1.0;1.0
35;5;1.0;1.0;1.0
35;6;1.0;1.0;1.0
35;7;1.0;1.0;1.0
35;8;1.0;1.0;1.0
35;9;1.0;1.0;1.0
35;10;1.0;1.0;1.0
36;1;0.6931900423604987;0.6952114091563548;1.0
36;2;0.7962407832236682;0.7966620454453914;1.0
36;3;0.765280441072486;0.7672336539097497;1.0
36;4;0.6522503607899328;0.6551137056823866;1.0
36;5;0.73085216876651;0.7339244441539163;1.0
36;6;0.9318841637231909;0.9322923194331203;1.0
36;7;0.8307723959269462;0.8336848917160911;1.0
36;8;0.22271588585819269;0.2239338973510434;1.0
36;9;0.8436549520132455;0.8448479703809049;1.0
36;10;0.6545929092451308;0.6545995705244299;1.0
37;1;0.14576040476796615;0.1467837371359253;0.9932885906040269
37;2;0.7988193784799242;0.8039819712531322;1.0
