year;month;day;hour;minute;tweets;related;rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;17;11;0;6;0;0.0;0.0;fraca
2016;1;11;17;30;19;1;0.4;0.2;fraca
2016;1;3;3;30;0;0;0.0;0.0;fraca
2016;1;17;19;0;11;0;0.0;0.0;fraca
2016;1;18;16;30;4;0;0.0;0.0;fraca
2016;1;24;22;30;5;0;0.2;0.0;fraca
2016;1;10;17;0;7;0;0.0;0.0;fraca
2016;1;4;7;30;5;0;0.0;0.0;fraca
2016;1;10;21;0;4;0;0.0;0.0;fraca
2016;1;19;20;0;2;0;0.0;0.0;fraca
2016;1;20;19;30;15;0;0.0;0.0;fraca
2016;1;5;4;30;0;0;0.0;0.0;fraca
2016;1;23;7;30;2;0;0.0;0.0;fraca
2016;1;12;14;30;9;0;0.0;0.0;fraca
2016;1;25;18;0;5;0;0.0;0.0;fraca
2016;1;1;2;30;0;0;0.0;0.0;fraca
2016;1;7;0;0;10;0;0.0;0.0;fraca
2016;1;28;21;30;4;0;0.0;0.0;fraca
2016;1;5;15;30;7;0;0.0;0.0;fraca
2016;1;24;12;30;3;0;0.0;0.0;fraca
2016;1;19;8;0;2;0;0.0;0.0;fraca
2016;1;17;0;0;8;0;0.0;0.0;fraca
2016;1;13;12;30;2;0;0.0;0.0;fraca
2016;1;10;11;30;2;0;0.6;0.2;fraca
2016;1;15;1;30;1;0;0.2;0.0;fraca
2016;1;3;13;30;9;0;0.0;0.0;fraca
2016;1;8;8;30;5;0;0.0;0.0;fraca
2016;1;30;18;30;3;0;0.0;0.0;fraca
2016;1;18;17;30;6;0;0.0;0.0;fraca
2016;1;13;9;0;8;0;0.0;0.0;fraca
2016;1;9;12;30;6;0;0.0;0.0;fraca
2016;1;1;15;0;1;0;0.0;0.0;fraca
2016;1;25;8;30;0;0;0.0;0.0;fraca
2016;1;2;9;0;1;0;1.77;2.94;moderada
2016;1;10;16;0;7;0;0.0;0.0;fraca
2016;1;28;19;0;2;0;0.0;0.0;fraca
2016;1;20;11;30;7;0;0.0;0.0;fraca
2016;1;11;22;30;0;0;0.0;0.0;fraca
2016;1;23;8;0;2;0;0.0;0.0;fraca
2016;1;18;4;0;2;0;0.0;0.0;fraca
2016;1;21;22;0;0;0;0.0;0.0;fraca
2016;1;7;12;30;13;0;0.0;0.0;fraca
2016;1;30;19;30;15;0;0.0;0.0;fraca
2016;1;31;0;30;3;0;0.0;0.0;fraca
2016;1;14;6;0;2;0;0.0;0.0;fraca
2016;1;2;3;30;1;0;0.0;0.0;fraca
2016;1;1;20;30;2;0;0.79;0.0;fraca
2016;1;21;6;0;2;0;0.0;0.0;fraca
2016;1;1;5;0;3;0;0.0;0.0;fraca
