tweets;related;rainfall (mm/30min);Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min)
2;0;0.0;0.08333333333333333;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.041666666666666664;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.041666666666666664;0.0;0.0;0.0
0;0;1.38;0.0;0.0;0.03629668595476065;0.2
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
2;0;0.0;0.08333333333333333;0.0;0.0;0.0
3;0;0.0;0.125;0.0;0.0;0.0
1;0;0.0;0.041666666666666664;0.0;0.0;0.0
3;0;0.0;0.125;0.0;0.0;0.0
2;0;0.0;0.08333333333333333;0.0;0.0;0.0
5;0;0.4;0.20833333333333334;0.0;0.010520778537611783;0.0
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.041666666666666664;0.0;0.0;0.0
7;0;0.0;0.2916666666666667;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.041666666666666664;0.0;0.0;0.0
7;0;0.0;0.2916666666666667;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.4;0.0;0.0;0.010520778537611783;0.2
0;0;0.0;0.0;0.0;0.0;0.0
3;0;0.0;0.125;0.0;0.0;0.0
3;0;0.0;0.125;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.041666666666666664;0.0;0.0;0.0
5;0;0.0;0.20833333333333334;0.0;0.0;0.0
1;0;0.0;0.041666666666666664;0.0;0.0;0.0
12;0;0.0;0.5;0.0;0.0;0.0
2;0;0.0;0.08333333333333333;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.4;0.0;0.0;0.010520778537611783;6.11
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
8;0;4.73;0.3333333333333333;0.0;0.12440820620725934;5.9
1;0;0.0;0.041666666666666664;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
4;0;0.0;0.16666666666666666;0.0;0.0;0.0
0;0;5.72;0.0;0.0;0.1504471330878485;1.57
