tweets;related;rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
3;0;0.0;0.0;fraca
1;0;0.0;0.0;fraca
2;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
1;0;0.0;0.0;fraca
15;0;0.2;0.0;fraca
12;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
1;0;0.2;0.0;fraca
12;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
3;0;0.4;0.4;fraca
0;0;0.0;0.0;fraca
2;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
0;0;0.2;0.0;fraca
4;0;0.0;0.0;fraca
1;0;0.0;0.2;fraca
0;0;0.6;0.4;fraca
5;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
3;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
1;0;0.0;0.2;fraca
1;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
10;0;0.0;0.0;fraca
1;0;0.0;0.0;fraca
1;0;0.0;0.0;fraca
1;0;0.0;0.2;fraca
2;0;0.2;0.0;fraca
5;0;0.0;0.0;fraca
10;0;0.0;0.0;fraca
3;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
0;0;0.2;0.0;fraca
4;0;0.0;0.0;fraca
4;0;0.0;0.0;fraca
17;0;0.0;0.0;fraca
3;0;0.4;0.2;fraca
25;0;0.2;0.2;fraca
0;0;0.0;0.0;fraca
0;0;0.2;0.2;fraca
0;0;0.0;0.0;fraca
1;0;0.0;0.2;fraca
4;0;0.0;0.0;fraca
2;0;0.2;0.0;fraca
2;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
6;0;0.0;0.2;fraca
2;0;0.0;0.0;fraca
1;0;0.0;0.2;fraca
4;0;0.0;0.0;fraca
0;0;0.2;0.0;fraca
2;0;0.0;0.0;fraca
2;0;0.2;0.0;fraca
0;0;0.0;0.0;fraca
0;0;0.2;0.2;fraca
13;0;0.4;0.4;fraca
0;0;0.0;0.0;fraca
12;0;0.0;0.0;fraca
1;0;0.0;0.2;fraca
7;0;0.0;0.0;fraca
0;0;0.6;0.79;fraca
3;0;0.0;0.0;fraca
9;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
2;0;0.2;0.2;fraca
0;0;0.2;0.2;fraca
3;0;0.0;0.0;fraca
