Sensor;Split;R2 Score;Explained Variance Score;Mesma Classe
1;1;-0.03421137731405932;0.0025929817554111168;1.0
1;2;0.0006465566456176353;0.0021167459414171974;1.0
1;3;-0.006425025505011783;0.0025696350188954;1.0
1;4;0.0009265428821508825;0.002546452174443714;1.0
1;5;0.0012142152621462676;0.0015309551327652438;1.0
1;6;-0.01045210095643645;0.002701368314337871;1.0
1;7;-0.006851837187912713;0.004305379912125762;1.0
1;8;-0.005805043424277123;0.0017512395714213147;1.0
1;9;-0.01622783995000132;0.0032568495901287298;1.0
1;10;0.001483897595300987;0.0015219806962883942;1.0
2;1;0.04084164840319182;0.051054065778106006;0.9731543624161074
2;2;0.014758161795732638;0.015801260682467455;0.9865771812080537
2;3;-0.23739571641662294;0.08026224227687517;1.0
2;4;0.07044854561032554;0.07528823620906355;0.9865771812080537
2;5;0.0644608570261922;0.06867479877183891;0.9865771812080537
2;6;0.0574402742075274;0.06334064167667952;0.9865771812080537
2;7;0.057886269810228264;0.06910458026379318;1.0
2;8;0.05748026760620939;0.06410055411731863;0.9798657718120806
2;9;0.005787853466521664;0.005984656739693395;0.9932885906040269
2;10;0.0389312993276153;0.04152107347038869;0.9932885906040269
3;1;1.0;1.0;1.0
3;2;1.0;1.0;1.0
3;3;1.0;1.0;1.0
3;4;1.0;1.0;1.0
3;5;1.0;1.0;1.0
3;6;1.0;1.0;1.0
3;7;1.0;1.0;1.0
3;8;1.0;1.0;1.0
3;9;1.0;1.0;1.0
3;10;1.0;1.0;1.0
4;1;-0.02342434936897897;0.003910306777210271;1.0
4;2;-0.005001050205890145;0.019908961233722877;1.0
4;3;-0.057071169934030275;0.010544293567413043;1.0
4;4;-0.003076106521198163;0.0013672847407252275;1.0
4;5;-0.11929468232157481;0.04454337550489029;1.0
4;6;-0.0018246173370140006;0.0012958155965632212;1.0
4;7;-0.0011957736896959226;0.001155231090618436;1.0
4;8;-0.2959344975589082;0.04042648030205276;1.0
4;9;0.0016693591522738416;0.005937909372649486;1.0
4;10;-0.009924729877534011;0.02553836827561129;1.0
5;1;-0.18595085470085504;0.0;1.0
5;2;-0.21769416410706444;0.0;1.0
5;3;-0.15774926992073435;0.0;1.0
5;4;-0.31584874348032255;3.3306690738754696e-16;1.0
5;5;-0.12126262626262663;0.0;1.0
5;6;-0.4499085684430517;0.0;1.0
5;7;-0.21769416410706444;0.0;1.0
5;8;-0.2729931192660553;0.0;1.0
5;9;-0.2729931192660553;0.0;1.0
5;10;-0.2937645687645687;0.0;1.0
6;1;0.1290852871050252;0.13085734538541915;0.9865771812080537
6;2;0.005088868421520121;0.005819600355894461;0.9865771812080537
6;3;-0.07185081844587127;0.018648773516080186;1.0
6;4;0.01213968227796125;0.017432588363010204;0.9865771812080537
6;5;0.011558102484159782;0.017469509345065082;0.9798657718120806
6;6;0.00812130941154976;0.01999354492519756;0.9798657718120806
6;7;0.030907955896654737;0.05817294420079955;1.0
6;8;0.043631533544527756;0.04565835875224267;0.9798657718120806
6;9;-0.004375152396239423;0.002801230108153141;0.9798657718120806
6;10;0.010240125847806869;0.016446336108840276;0.9798657718120806
7;1;0.07941956967811303;0.09249410027324922;0.9664429530201343
7;2;-0.0007688057751291666;0.005811224365777745;0.9798657718120806
7;3;0.06895497111346305;0.11233702304333015;1.0
7;4;0.07645476376675231;0.08391490638717547;0.9865771812080537
7;5;0.10633917936110293;0.10636510423933476;0.9865771812080537
7;6;0.02555618037934937;0.04631834992920614;0.9731543624161074
7;7;0.048710880416678926;0.06829903134476634;0.9798657718120806
7;8;0.047943809169001095;0.06169379008126208;0.9731543624161074
7;9;0.07411860568921258;0.08057650032393615;0.9731543624161074
7;10;0.07895802033048205;0.08449418504706596;1.0
8;1;0.0;0.0;1.0
8;2;0.0;0.0;1.0
8;3;0.0;0.0;1.0
8;4;0.0;0.0;1.0
8;5;0.0;0.0;1.0
8;6;0.0;0.0;1.0
8;7;0.0;0.0;1.0
8;8;0.0;0.0;1.0
8;9;-0.006756756756756799;0.0;1.0
8;10;0.0;0.0;1.0
9;1;0.8708305157903723;0.8871113192620925;1.0
9;2;0.6405333083763118;0.6704657861505943;0.9932885906040269
9;3;0.6595101678029249;0.6984593175563458;1.0
9;4;0.5990209210411197;0.6299038715424452;1.0
9;5;0.8200183003929167;0.8518314550190053;1.0
9;6;0.8177328881996221;0.8442545920661669;1.0
9;7;0.760167555074372;0.7804065196276819;1.0
9;8;0.7675892983420425;0.793892202696646;1.0
9;9;0.6894907302270961;0.6994190385021144;0.9865771812080537
9;10;0.8031202932920304;0.8849430661844508;1.0
10;1;0.036400230032658465;0.052179049464980976;0.9731543624161074
10;2;0.004058741726842174;0.004550011478492988;0.9932885906040269
10;3;-0.1457030529034975;0.04585143009159465;1.0
10;4;0.00952831538612331;0.026424962390111273;0.9731543624161074
10;5;0.028043848030649632;0.03882739381005795;0.9731543624161074
10;6;0.06194139455460512;0.06772743496886746;0.9865771812080537
10;7;0.15725217076750242;0.16000751941392155;1.0
10;8;0.012155894481917673;0.012365496678656385;0.9932885906040269
10;9;-0.0024687464038779527;0.003214647077534938;0.9865771812080537
10;10;0.015782834582565686;0.02040224068008878;0.9865771812080537
11;1;0.0015938633967600424;0.0015940348942528049;0.9932885906040269
11;2;-0.0010499321277517293;0.00028926872956869243;0.9865771812080537
11;3;5.690469233010642e-05;5.879087348636958e-05;0.9932885906040269
11;4;0.06541999718361446;0.06600330800962662;0.9932885906040269
11;5;0.014395091132391569;0.015377146861662028;0.9865771812080537
11;6;0.04373688576689527;0.043738455859132275;0.9865771812080537
11;7;-0.0032061821608941887;0.004003375760686212;0.9865771812080537
11;8;0.012362189622290853;0.01252506726622793;0.9932885906040269
11;9;0.019659401844774882;0.026355185285867777;0.9865771812080537
11;10;0.00043145460979188144;0.0021058775473005165;0.9865771812080537
12;1;0.02323860139781353;0.033270960461167065;1.0
12;2;0.010755007112488335;0.01209118652702712;0.9932885906040269
12;3;-0.001422312495163558;0.003445539749734494;0.9865771812080537
12;4;0.07717951101107912;0.08223759287297794;1.0
12;5;0.04321356934426901;0.043538007682995095;0.9932885906040269
12;6;0.00548995115796358;0.016024010988717863;0.9865771812080537
12;7;0.038872762151122786;0.04333165269857664;1.0
12;8;0.028594917055573155;0.04141813226890256;0.9932885906040269
12;9;0.02037199375169174;0.026565249093839727;0.9865771812080537
12;10;0.007457636398080947;0.016147847131834925;1.0
13;1;-2.377098366182535;-9.936233101193181e-06;1.0
13;2;-0.8713940143132335;-5.441293381869272e-06;1.0
13;3;-2.459510999858623;0.00021360253441027321;1.0
13;4;-0.7588673136212738;3.2404896528337446e-05;1.0
13;5;-4.580471337151878;-0.00012336123021960965;1.0
13;6;-1.7591339737074079;-0.00012288271683469354;1.0
13;7;-3.5235725201292354;7.303581683659743e-05;1.0
13;8;-1.1648014950261123;0.0011302787214770849;1.0
13;9;-1.5972788149076442;0.0007870020484577189;1.0
13;10;-5.463025955260126;-0.0002409727624370639;1.0
14;1;-0.7504603016308269;0.023820999120706454;1.0
14;2;0.0;0.0;1.0
14;3;0.0031175786830832664;0.007378765468678661;0.9865771812080537
14;4;-0.05538444088667904;0.0010816971817608767;0.9932885906040269
14;5;-0.19399473359675556;0.0026402440899800927;1.0
14;6;-0.4040801872918871;0.06786324083501771;1.0
14;7;-0.563440638422879;0.019673953855464554;1.0
14;8;0.0024471776287926517;0.0024819098865019873;0.9932885906040269
14;9;-0.0037809325665305593;0.005860399515894343;0.9865771812080537
14;10;-1.3367767847229652;0.0044214779964170114;1.0
15;1;0.46276156833515947;0.542685733573665;1.0
15;2;0.4132470078987681;0.5747253849205459;1.0
15;3;0.5040745912227922;0.562231004979912;1.0
15;4;0.4234681867847083;0.4867845174141272;1.0
15;5;0.5689155691177401;0.6135463893337038;1.0
15;6;0.48121856471426483;0.5468754651211549;1.0
15;7;0.2894855841862659;0.4632720706619181;1.0
15;8;0.4935178702250318;0.5527133365070555;1.0
15;9;0.34824444510109565;0.4542625979232796;1.0
15;10;0.42057328763789936;0.4917771389056034;1.0
16;1;-1.9366402116402122;-2.220446049250313e-16;1.0
16;2;-1.7613184079601996;0.0;1.0
16;3;-1.3537955894826132;-4.440892098500626e-16;1.0
16;4;-0.9152001380262251;0.0;1.0
16;5;-1.3537955894826128;-4.440892098500626e-16;1.0
16;6;-0.9152001380262251;1.1102230246251565e-16;1.0
16;7;-1.2470647773279357;-4.440892098500626e-16;1.0
16;8;-1.2470647773279357;-2.220446049250313e-16;1.0
16;9;-1.7613184079601996;0.0;1.0
16;10;-1.1512596899224805;2.220446049250313e-16;1.0
17;1;-1.608200187969926;-4.440892098500626e-16;1.0
17;2;-3.4049603174603185;0.0;1.0
17;3;-2.1392816742081453;1.1102230246251565e-16;1.0
17;4;-3.4049603174603176;0.0;1.0
17;5;-2.3760644768856434;3.3306690738754696e-16;1.0
17;6;-2.139281674208145;1.1102230246251565e-16;1.0
17;7;-6.708680555555559;0.0;1.0
17;8;-2.3760644768856447;5.551115123125783e-16;1.0
17;9;-2.9929856115107927;-2.220446049250313e-16;1.0
17;10;-3.4049603174603202;0.0;1.0
18;1;0.07146843983716544;0.07733119382148512;0.9798657718120806
18;2;0.038947113435092384;0.04221925417145245;0.9865771812080537
18;3;0.03655004069629553;0.1307466917008736;1.0
18;4;0.03895194516740552;0.04187724718988495;0.9865771812080537
18;5;0.03007004643475697;0.037047189517640966;0.9798657718120806
18;6;0.07079229491600247;0.07612529153826397;0.9865771812080537
18;7;0.07795218367661017;0.10942119410466677;1.0
18;8;0.26761343083779987;0.26844632395775125;0.9865771812080537
18;9;0.05692251699439277;0.05697983863499012;0.9932885906040269
18;10;0.05628250712913041;0.06028442292614855;0.9865771812080537
19;1;0.021162431032705653;0.03578329668935609;0.9664429530201343
19;2;0.028522466343804842;0.029278389619889267;0.9932885906040269
19;3;-0.0023052494357707065;0.0001040839875818822;0.9932885906040269
19;4;0.0011849933699052961;0.0047906743768652005;0.9932885906040269
19;5;0.044336127747428566;0.05555017209736279;0.9731543624161074
19;6;0.02845858185099248;0.037896467147690904;0.9798657718120806
19;7;0.1244497346134591;0.13978702009074384;1.0
19;8;0.3154405414846462;0.3192184105090189;0.9932885906040269
19;9;0.21277472133898223;0.21396063321068304;0.9932885906040269
19;10;0.029247982317613164;0.035711143901295594;0.9865771812080537
20;1;0.07465657213507315;0.0746698845996826;0.9932885906040269
20;2;0.36842384272736617;0.3883093912900385;1.0
20;3;0.1979235572473761;0.24210872555387208;1.0
20;4;0.28770068906893687;0.29755157972003365;1.0
20;5;0.26115697057025244;0.30446039074171405;1.0
20;6;0.17864633151542175;0.23454152333416023;1.0
20;7;0.09621559145390213;0.11174951641264197;1.0
20;8;0.12704555265916728;0.2744405174822063;1.0
20;9;0.27456677070377955;0.2953679601754766;1.0
20;10;0.23050823762702666;0.24071646218500098;1.0
21;1;0.10990960975659592;0.11304323485589407;1.0
21;2;0.04859266521909478;0.054744129531445807;1.0
21;3;0.06828509638964086;0.09040007170383069;1.0
21;4;0.2001170217978373;0.20035982608679093;0.9932885906040269
21;5;0.10946718252584664;0.10962891693925636;0.9865771812080537
21;6;0.026233597904151806;0.0280707477070391;0.9865771812080537
21;7;0.08074987009003975;0.08431527776986791;0.9932885906040269
21;8;0.06543730594585939;0.06754425784938856;0.9798657718120806
21;9;0.07196248290226592;0.07300427329237591;0.9932885906040269
21;10;-0.004102580725503735;0.10669580831403724;1.0
22;1;0.5083307553570666;0.587665855364339;1.0
22;2;0.26266388398292617;0.3772715662216076;1.0
22;3;0.45116091284248516;0.5296738167551858;1.0
22;4;0.3356758270064678;0.4664155184233051;1.0
22;5;0.5315229006820097;0.599034446763099;1.0
22;6;0.5652725177010449;0.6269361631631996;1.0
22;7;0.43837147766693263;0.5571734476592956;1.0
22;8;0.5762834504823994;0.6306858300442586;1.0
22;9;0.4406018243397585;0.49953480310482634;1.0
22;10;0.5562080463102812;0.6201693546353882;1.0
23;1;0.005707021734245976;0.01157513692636325;0.9798657718120806
23;2;0.0020474171526009277;0.0020509604646757884;0.9932885906040269
23;3;-0.05859579762630074;0.02630858463012864;1.0
23;4;0.12400189199568357;0.12418074908393573;0.9865771812080537
23;5;0.08894619188991237;0.090218541192987;0.9798657718120806
23;6;0.023400729090894856;0.028048865010426027;0.9932885906040269
23;7;0.002612527773282247;0.005148554882484446;0.9865771812080537
23;8;0.004178931064964697;0.011915702076551238;0.9798657718120806
23;9;-0.004897279414958211;0.0014375132250017408;0.9865771812080537
23;10;0.0008497572712182766;0.003451943859977047;0.9932885906040269
24;1;0.07415810504820419;0.08021929627762248;0.9932885906040269
24;2;0.003917451906369385;0.0041278280923049415;0.9865771812080537
24;3;-0.015816077243675286;0.00035712618614769376;0.9932885906040269
24;4;0.015155591316169392;0.01846525350700101;0.9798657718120806
24;5;0.029844771595613495;0.02990670835414;0.9798657718120806
24;6;0.00386053301878142;0.014954669657175956;0.959731543624161
24;7;0.03600140665727036;0.03894461623888357;0.9798657718120806
24;8;0.05108666033551479;0.05314439339361343;0.9865771812080537
24;9;-0.004000288420907827;0.005256425126522024;0.9865771812080537
24;10;0.00673045327085342;0.010309409490601995;0.9932885906040269
25;1;0.025943887850823688;0.04299609195546483;0.9932885906040269
25;2;0.020325994375187006;0.02035390958660721;0.9932885906040269
25;3;0.021537575727275993;0.0287504236700602;0.9865771812080537
25;4;0.012679975724249504;0.016207992261321302;0.9865771812080537
25;5;0.009288347153086685;0.014792026961208626;0.9731543624161074
25;6;0.01652858181352801;0.02248296777504577;0.9865771812080537
25;7;0.08363794827939908;0.0932455766641932;1.0
25;8;0.017862385401866687;0.025058512063378946;0.9932885906040269
25;9;0.014254455634967411;0.021521290874423116;0.9865771812080537
25;10;0.023058924794018498;0.023504968554094674;0.9932885906040269
26;1;0.007546188313524604;0.007952034647890405;0.9932885906040269
26;2;-0.06849698834006968;0.023889334348825675;1.0
26;3;-0.25602140952940733;0.01894164889892236;1.0
26;4;0.017001657050442986;0.017196838004843062;0.9932885906040269
26;5;0.00703807395741296;0.010349018571871316;0.9865771812080537
26;6;0.052842892501437366;0.052891847817894355;0.9932885906040269
