year;month;day;hour;minute;tweets;related;rainfall class;precision;recall;Normalized year;Normalized month;Normalized day;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall class;Normalized precision;Normalized recall;Next batch rainfall class
2016;1;14;9;30;4;0;0.0;0.0;0.0;1.0;0.5;0.45161290322580644;0.391304347826087;1.0;0.21052631578947367;0.0;0.0;0.0;0.0;0
2016;1;17;22;30;1;0;0.0;0.0;0.0;1.0;0.5;0.5483870967741935;0.9565217391304348;1.0;0.05263157894736842;0.0;0.0;0.0;0.0;0
2016;1;25;4;0;0;0;0.0;0.0;0.0;1.0;0.5;0.8064516129032258;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;1;16;0;2;0;0.0;0.0;0.0;1.0;0.5;0.03225806451612903;0.6956521739130435;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
2016;1;4;8;30;0;0;0.0;0.0;0.0;1.0;0.5;0.12903225806451613;0.34782608695652173;1.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;6;16;0;2;0;0.0;0.0;0.0;1.0;0.5;0.1935483870967742;0.6956521739130435;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
2016;1;11;3;30;0;0;0.0;0.0;0.0;1.0;0.5;0.3548387096774194;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;26;10;0;2;0;0.0;0.0;0.0;1.0;0.5;0.8387096774193549;0.43478260869565216;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
2016;1;8;6;30;6;0;0.0;0.0;0.0;1.0;0.5;0.25806451612903225;0.2608695652173913;1.0;0.3157894736842105;0.0;0.0;0.0;0.0;0
2016;1;1;19;30;2;0;1.77;0.0;0.0;1.0;0.5;0.03225806451612903;0.8260869565217391;1.0;0.10526315789473684;0.0;0.05245998814463544;0.0;0.0;0
2016;1;16;5;0;0;0;0.0;0.0;0.0;1.0;0.5;0.5161290322580645;0.21739130434782608;0.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;31;9;0;0;0;0.0;0.0;0.0;1.0;0.5;1.0;0.391304347826087;0.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;5;16;30;1;0;0.0;0.0;0.0;1.0;0.5;0.16129032258064516;0.6956521739130435;1.0;0.05263157894736842;0.0;0.0;0.0;0.0;0
2016;1;8;18;0;2;0;0.0;0.0;0.0;1.0;0.5;0.25806451612903225;0.782608695652174;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
2016;1;27;4;30;0;0;0.4;0.0;0.0;1.0;0.5;0.8709677419354839;0.17391304347826086;1.0;0.0;0.0;0.011855364552459988;0.0;0.0;0
2016;1;21;20;0;2;0;0.0;0.0;0.0;1.0;0.5;0.6774193548387096;0.8695652173913043;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
2016;1;31;17;30;0;0;0.0;0.0;0.0;1.0;0.5;1.0;0.7391304347826086;1.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;3;3;30;0;0;0.0;0.0;0.0;1.0;0.5;0.0967741935483871;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;28;19;0;0;0;0.0;0.0;0.0;1.0;0.5;0.9032258064516129;0.8260869565217391;0.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;12;4;30;0;0;0.2;0.0;0.0;1.0;0.5;0.3870967741935484;0.17391304347826086;1.0;0.0;0.0;0.005927682276229994;0.0;0.0;0
2016;1;25;15;30;2;0;0.0;0.0;0.0;1.0;0.5;0.8064516129032258;0.6521739130434783;1.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
2016;1;28;21;30;0;0;0.0;0.0;0.0;1.0;0.5;0.9032258064516129;0.9130434782608695;1.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;15;19;0;0;0;0.0;0.0;0.0;1.0;0.5;0.4838709677419355;0.8260869565217391;0.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;1;10;0;2;0;0.0;0.0;0.0;1.0;0.5;0.03225806451612903;0.43478260869565216;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
2016;1;20;21;30;1;0;0.0;0.0;0.0;1.0;0.5;0.6451612903225806;0.9130434782608695;1.0;0.05263157894736842;0.0;0.0;0.0;0.0;0
2016;1;28;7;30;0;0;0.0;0.0;0.0;1.0;0.5;0.9032258064516129;0.30434782608695654;1.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;25;7;30;0;0;0.0;0.0;0.0;1.0;0.5;0.8064516129032258;0.30434782608695654;1.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;5;18;0;1;0;0.0;0.0;0.0;1.0;0.5;0.16129032258064516;0.782608695652174;0.0;0.05263157894736842;0.0;0.0;0.0;0.0;0
2016;1;17;7;30;1;0;0.0;0.0;0.0;1.0;0.5;0.5483870967741935;0.30434782608695654;1.0;0.05263157894736842;0.0;0.0;0.0;0.0;0
2016;1;29;2;30;0;0;0.0;0.0;0.0;1.0;0.5;0.9354838709677419;0.08695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;16;16;0;2;0;0.0;0.0;0.0;1.0;0.5;0.5161290322580645;0.6956521739130435;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
2016;1;13;12;30;1;0;0.0;0.0;0.0;1.0;0.5;0.41935483870967744;0.5217391304347826;1.0;0.05263157894736842;0.0;0.0;0.0;0.0;0
2016;1;20;17;0;2;0;0.0;0.0;0.0;1.0;0.5;0.6451612903225806;0.7391304347826086;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
2016;1;11;21;0;4;0;0.0;0.0;0.0;1.0;0.5;0.3548387096774194;0.9130434782608695;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0
2016;1;2;10;30;1;0;0.0;0.0;0.0;1.0;0.5;0.06451612903225806;0.43478260869565216;1.0;0.05263157894736842;0.0;0.0;0.0;0.0;0
2016;1;27;22;30;2;0;0.2;0.0;0.0;1.0;0.5;0.8709677419354839;0.9565217391304348;1.0;0.10526315789473684;0.0;0.005927682276229994;0.0;0.0;0
2016;1;5;6;0;0;0;0.0;0.0;0.0;1.0;0.5;0.16129032258064516;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;21;22;0;2;0;0.0;0.0;0.0;1.0;0.5;0.6774193548387096;0.9565217391304348;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
2016;1;25;18;0;1;0;0.0;0.0;0.0;1.0;0.5;0.8064516129032258;0.782608695652174;0.0;0.05263157894736842;0.0;0.0;0.0;0.0;0
2016;1;9;10;0;0;0;0.0;0.0;0.0;1.0;0.5;0.2903225806451613;0.43478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;3;11;0;4;0;0.0;0.0;0.0;1.0;0.5;0.0967741935483871;0.4782608695652174;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0
2016;1;31;12;0;1;0;0.0;0.0;0.0;1.0;0.5;1.0;0.5217391304347826;0.0;0.05263157894736842;0.0;0.0;0.0;0.0;0
2016;1;24;15;30;1;0;0.0;0.0;0.0;1.0;0.5;0.7741935483870968;0.6521739130434783;1.0;0.05263157894736842;0.0;0.0;0.0;0.0;0
2016;1;21;18;0;0;0;0.0;0.0;0.0;1.0;0.5;0.6774193548387096;0.782608695652174;0.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;27;0;0;0;0;0.0;0.0;0.0;1.0;0.5;0.8709677419354839;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;4;21;30;2;0;0.0;0.0;0.0;1.0;0.5;0.12903225806451613;0.9130434782608695;1.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
2016;1;15;15;30;1;0;0.2;0.0;0.0;1.0;0.5;0.4838709677419355;0.6521739130434783;1.0;0.05263157894736842;0.0;0.005927682276229994;0.0;0.0;0
2016;1;8;4;30;0;0;0.0;0.0;0.0;1.0;0.5;0.25806451612903225;0.17391304347826086;1.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;29;13;30;1;0;0.0;0.0;0.0;1.0;0.5;0.9354838709677419;0.5652173913043478;1.0;0.05263157894736842;0.0;0.0;0.0;0.0;0
2016;1;27;9;0;0;0;0.0;0.0;0.0;1.0;0.5;0.8709677419354839;0.391304347826087;0.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;12;19;30;2;0;0.0;0.0;0.0;1.0;0.5;0.3870967741935484;0.8260869565217391;1.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
2016;1;22;15;30;3;0;0.0;0.0;0.0;1.0;0.5;0.7096774193548387;0.6521739130434783;1.0;0.15789473684210525;0.0;0.0;0.0;0.0;0
2016;1;7;9;0;4;0;0.0;0.0;0.0;1.0;0.5;0.22580645161290322;0.391304347826087;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0
2016;1;5;20;30;6;0;0.0;0.0;0.0;1.0;0.5;0.16129032258064516;0.8695652173913043;1.0;0.3157894736842105;0.0;0.0;0.0;0.0;0
2016;1;6;13;30;0;0;0.0;0.0;0.0;1.0;0.5;0.1935483870967742;0.5652173913043478;1.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;28;22;30;2;0;0.0;0.0;0.0;1.0;0.5;0.9032258064516129;0.9565217391304348;1.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
2016;1;27;18;30;0;0;0.2;0.0;0.0;1.0;0.5;0.8709677419354839;0.782608695652174;1.0;0.0;0.0;0.005927682276229994;0.0;0.0;0
2016;1;16;13;0;3;0;0.0;0.0;0.0;1.0;0.5;0.5161290322580645;0.5652173913043478;0.0;0.15789473684210525;0.0;0.0;0.0;0.0;0
2016;1;16;10;30;4;0;0.0;0.0;0.0;1.0;0.5;0.5161290322580645;0.43478260869565216;1.0;0.21052631578947367;0.0;0.0;0.0;0.0;0
2016;1;5;19;0;0;0;0.0;0.0;0.0;1.0;0.5;0.16129032258064516;0.8260869565217391;0.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;27;14;30;2;0;0.0;0.0;0.0;1.0;0.5;0.8709677419354839;0.6086956521739131;1.0;0.10526315789473684;0.0;0.0;0.0;0.0;0
