hour;minute;tweets;related;rainfall (mm/30min);Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min)
8;30;1;0;0.0;0.34782608695652173;1.0;0.038461538461538464;0.0;0.0;0.0
19;30;6;0;0.0;0.8260869565217391;1.0;0.23076923076923078;0.0;0.0;0.0
20;30;0;0;0.0;0.8695652173913043;1.0;0.0;0.0;0.0;0.0
12;0;3;0;0.0;0.5217391304347826;0.0;0.11538461538461539;0.0;0.0;0.0
19;30;1;0;0.0;0.8260869565217391;1.0;0.038461538461538464;0.0;0.0;0.0
17;30;2;0;0.0;0.7391304347826086;1.0;0.07692307692307693;0.0;0.0;0.0
12;0;0;0;0.0;0.5217391304347826;0.0;0.0;0.0;0.0;0.2
11;0;0;0;0.0;0.4782608695652174;0.0;0.0;0.0;0.0;0.0
2;0;5;0;0.0;0.08695652173913043;0.0;0.19230769230769232;0.0;0.0;0.0
18;0;0;0;0.0;0.782608695652174;0.0;0.0;0.0;0.0;0.0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0
9;0;0;0;0.0;0.391304347826087;0.0;0.0;0.0;0.0;0.0
10;30;2;0;0.0;0.43478260869565216;1.0;0.07692307692307693;0.0;0.0;0.0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
13;0;1;0;0.0;0.5652173913043478;0.0;0.038461538461538464;0.0;0.0;0.0
0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;0;1;0;0.0;0.13043478260869565;0.0;0.038461538461538464;0.0;0.0;0.0
21;0;0;0;0.0;0.9130434782608695;0.0;0.0;0.0;0.0;0.0
15;0;2;0;0.2;0.6521739130434783;0.0;0.07692307692307693;0.0;1.0;0.0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0
22;30;0;0;0.0;0.9565217391304348;1.0;0.0;0.0;0.0;0.0
12;0;2;0;0.0;0.5217391304347826;0.0;0.07692307692307693;0.0;0.0;0.0
19;0;8;0;0.0;0.8260869565217391;0.0;0.3076923076923077;0.0;0.0;0.0
18;30;3;0;0.0;0.782608695652174;1.0;0.11538461538461539;0.0;0.0;0.2
17;0;2;0;0.0;0.7391304347826086;0.0;0.07692307692307693;0.0;0.0;0.0
12;0;6;0;0.0;0.5217391304347826;0.0;0.23076923076923078;0.0;0.0;0.0
21;30;2;0;0.0;0.9130434782608695;1.0;0.07692307692307693;0.0;0.0;0.0
12;0;13;0;0.0;0.5217391304347826;0.0;0.5;0.0;0.0;0.0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0
