Sensor;Split;R2 Score;Explained Variance Score;Mesma Classe
1;1;0.30266445748977655;0.3494323736013286;1.0
1;2;0.19679164216494216;0.1976216544055137;1.0
1;3;0.20406589636560735;0.22988903326207588;1.0
1;4;0.26069872488581125;0.2693935530826842;1.0
1;5;0.11283431593520588;0.11462506425957675;1.0
1;6;0.35299698896847564;0.3540527960655663;1.0
1;7;0.24811746786816802;0.24833546660786954;1.0
1;8;0.1076405810752602;0.10887508686912106;1.0
1;9;0.2463150371845929;0.2558729494918579;1.0
1;10;0.20237810843613768;0.20254189115995114;1.0
2;1;0.5618012921134903;0.56640641914419;0.9731543624161074
2;2;-0.069257446875153;-0.06779415015591916;0.9865771812080537
2;3;-0.39238679488260964;-0.22874748550663648;1.0
2;4;0.6842758645595337;0.6854656362068475;0.9798657718120806
2;5;0.691813762510874;0.694116426841797;0.9865771812080537
2;6;0.6352147749978634;0.6395914260940849;0.9865771812080537
2;7;-1.9845079102308167;-1.9601604462076612;0.9932885906040269
2;8;-0.45155939183904126;-0.4515501596354754;0.9798657718120806
2;9;0.03061204174498433;0.03279578819128681;0.9932885906040269
2;10;-1.6074176408243837;-1.580511021680096;0.9798657718120806
3;1;1.0;1.0;1.0
3;2;1.0;1.0;1.0
3;3;1.0;1.0;1.0
3;4;1.0;1.0;1.0
3;5;1.0;1.0;1.0
3;6;1.0;1.0;1.0
3;7;1.0;1.0;1.0
3;8;1.0;1.0;1.0
3;9;1.0;1.0;1.0
3;10;1.0;1.0;1.0
4;1;0.6751025660200284;0.6774862432573827;1.0
4;2;0.5622683243189142;0.5624929122924626;1.0
4;3;0.2772163034593751;0.28128432642170365;1.0
4;4;0.41323800592374993;0.41483156580310665;1.0
4;5;-0.14056365246841884;-0.11362000331657529;1.0
4;6;0.6627198253070777;0.6634631163231384;1.0
4;7;0.6740841143730791;0.6743599373760907;1.0
4;8;-0.18183605841014305;-0.13234512461981973;1.0
4;9;0.29409885097906074;0.2987189605666086;1.0
4;10;-0.03304213552123847;-0.026001306927195156;1.0
5;1;0.1353182740281711;0.14049000153572877;1.0
5;2;0.10185988029176052;0.10278612380482444;1.0
5;3;0.07732333581097095;0.0829547008297169;1.0
5;4;0.11872653998276306;0.11999787043779275;1.0
5;5;0.17455787187975302;0.20659880758016191;1.0
5;6;0.07838474870028211;0.09420047402307163;1.0
5;7;0.07551870625742318;0.07615580075998984;1.0
5;8;0.06267587017879639;0.06792501370667492;1.0
5;9;0.1602476970069422;0.16153550278911233;1.0
5;10;0.09018917822566042;0.0902725177568049;1.0
6;1;0.9343976332580148;0.9354402606514755;0.9932885906040269
6;2;0.05144366461042282;0.05707965259634984;0.9865771812080537
6;3;-0.1557670161099225;-0.11564426862000099;1.0
6;4;0.41852478860982734;0.4195046677345742;0.9731543624161074
6;5;0.3976553950296068;0.4012499756266166;0.9798657718120806
6;6;0.1733585826090034;0.1787793483314335;0.9731543624161074
6;7;0.564540209147846;0.6198861242949139;1.0
6;8;-0.5853951995891951;-0.5537790817333776;0.9731543624161074
6;9;-0.6291138961544791;-0.62910104612636;0.9664429530201343
6;10;0.3591789744022992;0.3619740078613668;0.9798657718120806
7;1;0.34746745595906536;0.34798924991325975;0.9664429530201343
7;2;0.03442220335720303;0.03734260085188623;0.9932885906040269
7;3;-7.650994705923191;-7.432487820370119;0.9865771812080537
7;4;0.3918169331908091;0.39209994436262696;0.9865771812080537
7;5;-0.0733194547830498;-0.010869997229739248;0.9932885906040269
7;6;0.3641455618717433;0.3663607942964947;0.9731543624161074
7;7;0.12809234395458513;0.13076458834148608;0.9731543624161074
7;8;0.36176800400290643;0.3677488884150717;0.9798657718120806
7;9;0.8155345384023864;0.8165485646704576;0.9865771812080537
7;10;-2.17028846061294;-2.0212657068517745;0.9731543624161074
8;1;0.0;0.0;1.0
8;2;0.0;0.0;1.0
8;3;1.0;1.0;1.0
8;4;0.0;0.0;1.0
8;5;0.0;0.0;1.0
8;6;0.0;0.0;1.0
8;7;0.0;0.0;1.0
8;8;0.0;0.0;1.0
8;9;-0.006756756756756799;0.0;1.0
8;10;0.0;0.0;1.0
9;1;0.8965447747084204;0.8965892457080603;0.9932885906040269
9;2;0.7265135537598497;0.7268165810270565;1.0
9;3;0.7721030147718911;0.772104141401146;1.0
9;4;0.551479390070897;0.5514925036818286;1.0
9;5;0.7951100620313277;0.795485633378314;0.9932885906040269
9;6;0.8523638884610343;0.8523776751705301;1.0
9;7;0.84739181806102;0.8475156265752759;1.0
9;8;0.8515033713879722;0.8520995779922423;1.0
9;9;0.7487286730200419;0.7495701460511293;0.9798657718120806
9;10;0.8032278933378245;0.812261294768701;1.0
10;1;0.6795518452657012;0.6819059355979806;0.9731543624161074
10;2;-0.834860306285282;-0.818200535999853;0.9731543624161074
10;3;-2.204338174757429;-1.913784678341901;1.0
10;4;0.2716562857992868;0.27751948951101835;0.9664429530201343
10;5;0.4302939676501579;0.4320618661253891;0.9798657718120806
10;6;0.9787591639930511;0.979489946397558;1.0
10;7;-17.85761449554811;-17.35223670964112;0.9731543624161074
10;8;-3.9796652516468978;-3.9490322121237327;0.9731543624161074
