tweets;related;rainfall (mm/30min);Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
12;0;0.0;0.48;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.2;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
6;0;0.0;0.24;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
11;0;0.0;0.44;0.0;0.0;0.0;0
2;0;0.0;0.08;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
2;0;0.0;0.08;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.08;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
1;0;1.57;0.04;0.0;0.06658184902459713;0.79;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.4;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.12;0.0;0.0;0.0;0
3;0;0.0;0.12;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;1.18;0
1;0;0.0;0.04;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
1;0;12.91;0.04;0.0;0.5474978795589484;6.49;1
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.08;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.12;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.79;0
3;0;0.0;0.12;0.0;0.0;0.0;0
3;0;0.0;0.12;0.0;0.0;0.0;0
2;0;0.0;0.08;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
6;0;0.0;0.24;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.08;0.0;0.0;0.0;0
3;0;0.0;0.12;0.0;0.0;0.0;0
6;0;0.0;0.24;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
5;0;0.79;0.2;0.0;0.033502968617472435;0.4;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
2;0;0.0;0.08;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
2;0;0.0;0.08;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
3;0;0.0;0.12;0.0;0.0;0.0;0
3;0;0.0;0.12;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.08;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
5;0;0.0;0.2;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
7;0;0.0;0.28;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
3;0;0.0;0.12;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;1.18;0
2;0;0.0;0.08;0.0;0.0;0.0;0
3;0;0.0;0.12;0.0;0.0;0.0;0
1;0;0.0;0.04;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.2;0.04;0.0;0.008481764206955048;0.39;0
0;0;0.0;0.0;0.0;0.0;0.0;0
