hour;minute;tweets;related;rainfall (mm/30min);Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
18;0;3;1;0.0;0.782608695652174;0.0;0.05263157894736842;0.25;0.0;0.0;0
10;30;15;0;0.0;0.43478260869565216;1.0;0.2631578947368421;0.0;0.0;0.0;0
22;0;24;0;0.0;0.9565217391304348;0.0;0.42105263157894735;0.0;0.0;0.0;0
16;30;10;0;0.0;0.6956521739130435;1.0;0.17543859649122806;0.0;0.0;0.0;0
12;30;20;0;0.0;0.5217391304347826;1.0;0.3508771929824561;0.0;0.0;0.0;0
3;0;1;0;0.0;0.13043478260869565;0.0;0.017543859649122806;0.0;0.0;0.0;0
9;0;9;0;0.0;0.391304347826087;0.0;0.15789473684210525;0.0;0.0;0.0;0
15;0;15;0;0.0;0.6521739130434783;0.0;0.2631578947368421;0.0;0.0;0.0;0
1;30;2;0;0.0;0.043478260869565216;1.0;0.03508771929824561;0.0;0.0;0.0;0
10;0;15;0;0.0;0.43478260869565216;0.0;0.2631578947368421;0.0;0.0;0.0;0
23;30;6;0;0.0;1.0;1.0;0.10526315789473684;0.0;0.0;0.0;0
12;0;29;0;0.0;0.5217391304347826;0.0;0.5087719298245614;0.0;0.0;0.0;0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0
22;0;0;0;0.0;0.9565217391304348;0.0;0.0;0.0;0.0;0.0;0
23;0;26;0;0.0;1.0;0.0;0.45614035087719296;0.0;0.0;0.0;0
3;0;3;0;0.0;0.13043478260869565;0.0;0.05263157894736842;0.0;0.0;0.0;0
21;0;37;0;0.0;0.9130434782608695;0.0;0.6491228070175439;0.0;0.0;0.0;0
17;0;14;0;0.0;0.7391304347826086;0.0;0.24561403508771928;0.0;0.0;36.3;3
17;0;21;0;0.0;0.7391304347826086;0.0;0.3684210526315789;0.0;0.0;0.0;0
13;30;21;0;0.0;0.5652173913043478;1.0;0.3684210526315789;0.0;0.0;0.0;0
23;30;6;0;0.0;1.0;1.0;0.10526315789473684;0.0;0.0;0.0;0
19;0;16;0;0.0;0.8260869565217391;0.0;0.2807017543859649;0.0;0.0;0.0;0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0
20;30;22;0;0.0;0.8695652173913043;1.0;0.38596491228070173;0.0;0.0;0.0;0
10;0;12;0;0.0;0.43478260869565216;0.0;0.21052631578947367;0.0;0.0;0.0;0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;0
2;0;13;0;0.0;0.08695652173913043;0.0;0.22807017543859648;0.0;0.0;0.0;0
16;0;17;1;0.0;0.6956521739130435;0.0;0.2982456140350877;0.25;0.0;0.0;0
0;30;1;0;0.0;0.0;1.0;0.017543859649122806;0.0;0.0;0.0;0
18;30;19;0;0.0;0.782608695652174;1.0;0.3333333333333333;0.0;0.0;0.0;0
