year;month;day;hour;minute;tweets;related;rainfall (mm/30min);precision;recall;Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;3;13;30;16;0;0.0;0.0;0.0;0.0;fraca
2016;1;16;17;30;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;30;15;0;16;0;0.0;0.0;0.0;0.0;fraca
2016;1;12;15;30;17;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.0;fraca
2016;1;3;19;0;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;28;5;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;21;0;27;0;0.0;0.0;0.0;0.0;fraca
2016;1;19;20;30;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;14;21;0;20;0;0.2;0.0;0.0;0.2;fraca
2016;1;27;13;0;34;0;0.0;0.0;0.0;0.0;fraca
2016;1;31;17;0;33;0;0.0;0.0;0.0;0.0;fraca
2016;1;24;6;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;14;16;30;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;18;0;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;21;2;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;26;6;0;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;17;0;17;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.0;fraca
2016;1;3;0;30;0;0;0.0;0.0;0.0;0.2;fraca
2016;1;14;10;0;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;9;30;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;15;19;30;15;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;8;0;2;0;0.2;0.0;0.0;0.59;fraca
2016;1;5;7;0;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;9;5;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;21;0;13;0;0.0;0.0;0.0;0.0;fraca
2016;1;11;5;0;1;0;0.2;0.0;0.0;0.39;fraca
