Sensor;Split;R2 Score;Explained Variance Score;Mesma Classe
1;1;0.5818772342547196;0.5997198313143512;1.0
1;2;0.6238118608543239;0.6255390915292218;1.0
1;3;0.6480770456296675;0.6654252411800463;1.0
1;4;0.5583692787855553;0.5636734289440255;1.0
1;5;0.4455851414837634;0.44858938375353485;1.0
1;6;0.6495662129660623;0.6498838470349256;1.0
1;7;0.6322795700868993;0.6335723407946219;1.0
1;8;0.48157715319516925;0.48625179072908076;1.0
1;9;0.3901637812732571;0.3938121598802211;1.0
1;10;0.4673138450784915;0.4687174463364575;1.0
2;1;0.6238400603333312;0.6269970578818085;0.9731543624161074
2;2;0.0067866906767448665;0.007975062911344089;0.9865771812080537
2;3;-0.5401579289149707;-0.3385695059397569;1.0
2;4;0.5997497082081864;0.6003197627085842;0.9798657718120806
2;5;0.7152791717879988;0.7173114190154545;0.9865771812080537
2;6;0.6903106332793354;0.6936390315796662;0.9865771812080537
2;7;-2.584043583657475;-2.534522362258351;0.9932885906040269
2;8;-0.4746906189593083;-0.47465904384583935;0.9798657718120806
2;9;-0.00778412928961858;-0.00731951206047432;0.9932885906040269
2;10;-1.575220973844627;-1.5508330923108251;0.9798657718120806
3;1;1.0;1.0;1.0
3;2;1.0;1.0;1.0
3;3;1.0;1.0;1.0
3;4;1.0;1.0;1.0
3;5;1.0;1.0;1.0
3;6;1.0;1.0;1.0
3;7;1.0;1.0;1.0
3;8;1.0;1.0;1.0
3;9;1.0;1.0;1.0
3;10;1.0;1.0;1.0
4;1;0.7781124281990959;0.7788852596447374;1.0
4;2;0.5907332309070314;0.59079772578622;1.0
4;3;0.4161395757550287;0.41816108701361077;1.0
4;4;0.4917290999783934;0.49406320659887015;1.0
4;5;0.0026170172743171793;0.0227638410843356;1.0
4;6;0.741674295243762;0.7433120404677551;1.0
4;7;0.788843749751633;0.7892818842604279;1.0
4;8;-0.10337673999419694;-0.06157736227576582;1.0
4;9;0.30562626187038333;0.31079102182010676;1.0
4;10;0.18648695404943105;0.1947638939253734;1.0
5;1;0.10458855810287682;0.11111169880416161;1.0
5;2;0.10834734689590608;0.10895315044261711;1.0
5;3;0.06931921140549135;0.07433006982738422;1.0
5;4;0.06173935578876044;0.06397383928544786;1.0
5;5;0.19266511271034115;0.22597299516008262;1.0
5;6;0.04704402806650709;0.06234325942768981;1.0
5;7;0.07882373244927687;0.08108598689561208;1.0
5;8;0.05322197296161402;0.06193665541043447;1.0
5;9;0.13094422344817136;0.13095379930113538;1.0
5;10;0.12216266340118531;0.122389561879926;1.0
