hour;minute;tweets;related;rainfall class;precision;recall;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall class;Normalized precision;Normalized recall;Next batch rainfall class
21;0;0;0;0.2;0.0;0.0;0.9130434782608695;0.0;0.0;0.0;0.00576036866359447;0.0;0.0;0
17;0;0;0;5.31;0.0;0.0;0.7391304347826086;0.0;0.0;0.0;0.15293778801843316;0.0;0.0;1
23;0;1;1;0.2;4.143978385008743e-06;0.0016129032258064516;1.0;0.0;0.034482758620689655;1.0;0.00576036866359447;1.0;1.0;0
16;0;19;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.6551724137931034;0.0;0.0;0.0;0.0;0
3;0;1;0;0.59;0.0;0.0;0.13043478260869565;0.0;0.034482758620689655;0.0;0.016993087557603686;0.0;0.0;0
11;30;1;0;0.0;0.0;0.0;0.4782608695652174;1.0;0.034482758620689655;0.0;0.0;0.0;0.0;0
5;30;0;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0.0;0
11;30;0;0;0.2;0.0;0.0;0.4782608695652174;1.0;0.0;0.0;0.00576036866359447;0.0;0.0;0
20;0;1;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.034482758620689655;0.0;0.0;0.0;0.0;0
21;30;0;0;0.0;0.0;0.0;0.9130434782608695;1.0;0.0;0.0;0.0;0.0;0.0;0
7;0;0;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0;0.0;0
16;0;2;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.06896551724137931;0.0;0.0;0.0;0.0;0
4;0;0;0;0.6;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.01728110599078341;0.0;0.0;1
21;0;0;0;1.77;0.0;0.0;0.9130434782608695;0.0;0.0;0.0;0.05097926267281106;0.0;0.0;0
14;30;1;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.034482758620689655;0.0;0.0;0.0;0.0;0
15;30;3;0;0.0;0.0;0.0;0.6521739130434783;1.0;0.10344827586206896;0.0;0.0;0.0;0.0;0
15;0;1;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.034482758620689655;0.0;0.0;0.0;0.0;0
0;30;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0
21;30;4;0;0.98;0.0;0.0;0.9130434782608695;1.0;0.13793103448275862;0.0;0.028225806451612902;0.0;0.0;0
4;0;0;0;0.0;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0
12;0;2;0;0.0;0.0;0.0;0.5217391304347826;0.0;0.06896551724137931;0.0;0.0;0.0;0.0;0
7;0;0;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
5;0;2;0;0.0;0.0;0.0;0.21739130434782608;0.0;0.06896551724137931;0.0;0.0;0.0;0.0;0
22;30;0;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.0;0.0;0.0;0.0;0.0;0
2;30;0;0;0.0;0.0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0
12;30;3;0;0.0;0.0;0.0;0.5217391304347826;1.0;0.10344827586206896;0.0;0.0;0.0;0.0;0
6;30;0;0;0.0;0.0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0;0.0;0
4;0;0;0;0.0;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0
8;0;0;0;0.0;0.0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0;0.0;0
11;0;0;0;0.0;0.0;0.0;0.4782608695652174;0.0;0.0;0.0;0.0;0.0;0.0;0
16;30;2;0;0.0;0.0;0.0;0.6956521739130435;1.0;0.06896551724137931;0.0;0.0;0.0;0.0;0
7;0;0;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0;0.0;0
23;0;0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
11;30;0;0;0.59;0.0;0.0;0.4782608695652174;1.0;0.0;0.0;0.016993087557603686;0.0;0.0;0
11;30;0;0;0.0;0.0;0.0;0.4782608695652174;1.0;0.0;0.0;0.0;0.0;0.0;0
2;30;0;0;0.0;0.0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0
22;30;10;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.3448275862068966;0.0;0.0;0.0;0.0;0
1;0;0;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0
20;0;0;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.0;0.0;0.0;0.0;0.0;0
2;30;0;0;0.0;0.0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0
5;30;0;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0.0;0
10;0;2;0;0.0;0.0;0.0;0.43478260869565216;0.0;0.06896551724137931;0.0;0.0;0.0;0.0;0
10;30;0;0;0.0;0.0;0.0;0.43478260869565216;1.0;0.0;0.0;0.0;0.0;0.0;0
23;0;3;0;0.0;0.0;0.0;1.0;0.0;0.10344827586206896;0.0;0.0;0.0;0.0;0
13;0;0;0;0.2;0.0;0.0;0.5652173913043478;0.0;0.0;0.0;0.00576036866359447;0.0;0.0;1
10;30;1;0;0.0;0.0;0.0;0.43478260869565216;1.0;0.034482758620689655;0.0;0.0;0.0;0.0;0
13;0;5;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.1724137931034483;0.0;0.0;0.0;0.0;0
8;0;0;0;0.0;0.0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0;0.0;0
8;30;0;0;0.0;0.0;0.0;0.34782608695652173;1.0;0.0;0.0;0.0;0.0;0.0;0
21;30;3;0;0.0;0.0;0.0;0.9130434782608695;1.0;0.10344827586206896;0.0;0.0;0.0;0.0;0
15;30;10;0;0.0;0.0;0.0;0.6521739130434783;1.0;0.3448275862068966;0.0;0.0;0.0;0.0;0
4;0;0;0;0.0;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0
2;0;0;0;0.0;0.0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0;0.0;0
