tweets;related;rainfall class;precision;recall;Normalized tweets;Normalized related;Normalized rainfall class;Normalized precision;Normalized recall;Next batch rainfall class
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
4;0;0.0;0.0;0.0;0.06153846153846154;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
0;0;4.93;0.0;0.0;0.0;0.0;0.33999999999999997;0.0;0.0;1
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
5;0;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.4;0.0;0.0;0.015384615384615385;0.0;0.027586206896551727;0.0;0.0;0
7;0;0.0;0.0;0.0;0.1076923076923077;0.0;0.0;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;4.13;0.0;0.0;0.0;0.0;0.2848275862068965;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
6;0;0.0;0.0;0.0;0.09230769230769231;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
9;0;0.0;0.0;0.0;0.13846153846153847;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
4;0;0.0;0.0;0.0;0.06153846153846154;0.0;0.0;0.0;0.0;0
9;0;0.0;0.0;0.0;0.13846153846153847;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
0;0;1.96;0.0;0.0;0.0;0.0;0.13517241379310344;0.0;0.0;0
6;0;0.0;0.0;0.0;0.09230769230769231;0.0;0.0;0.0;0.0;0
0;0;0.2;0.0;0.0;0.0;0.0;0.013793103448275864;0.0;0.0;0
4;0;0.0;0.0;0.0;0.06153846153846154;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.2;0.0;0.0;0.03076923076923077;0.0;0.013793103448275864;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
4;0;0.0;0.0;0.0;0.06153846153846154;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.2;0.0;0.0;0.0;0.0;0.013793103448275864;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
2;0;0.6;0.0;0.0;0.03076923076923077;0.0;0.041379310344827586;0.0;0.0;0
4;0;0.0;0.0;0.0;0.06153846153846154;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
8;0;0.0;0.0;0.0;0.12307692307692308;0.0;0.0;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
4;0;0.0;0.0;0.0;0.06153846153846154;0.0;0.0;0.0;0.0;0
4;0;0.0;0.0;0.0;0.06153846153846154;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.4;0.0;0.0;0.03076923076923077;0.0;0.027586206896551727;0.0;0.0;0
2;0;0.4;0.0;0.0;0.03076923076923077;0.0;0.027586206896551727;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
4;0;0.0;0.0;0.0;0.06153846153846154;0.0;0.0;0.0;0.0;0
6;0;0.0;0.0;0.0;0.09230769230769231;0.0;0.0;0.0;0.0;0
8;0;0.0;0.0;0.0;0.12307692307692308;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
4;0;0.0;0.0;0.0;0.06153846153846154;0.0;0.0;0.0;0.0;0
6;0;0.0;0.0;0.0;0.09230769230769231;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3;0;0.2;0.0;0.0;0.046153846153846156;0.0;0.013793103448275864;0.0;0.0;0
4;0;0.0;0.0;0.0;0.06153846153846154;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;3.14;0.0;0.0;0.0;0.0;0.21655172413793106;0.0;0.0;0
3;0;0.0;0.0;0.0;0.046153846153846156;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0
2;0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0
